ordinal,id,name,start_date,end_date,replaces,replaced_by
83,Q20241047,Philippe Vincent Roger,1770,1771,Q17628600,Q15967354
84,Q15967354,Pierre de la Ville,1772,1776,Q20241047,Q17352238
,Q17352238,Jean-Baptiste Gellée,1776,1782,Q15967354,Q17630848
85,Q17630848,Jean-Jacques Berrouette,1782,1786,Q17352238,Q17629003
86,Q17629003,Georges Guérin,1786,1786,Q17630848,Q17636692
87,Q17636692,Pierre Richard,1787,1788,Q17629003,Q2966060
88,Q2966060,Christophe-Clair Danyel de Kervégan,1789,1790,Q17636692,Q3385239
89,Q3385239,Pierre Giraud du Plessis,1791,1792,Q2966060,Q3426249
90,Q3426249,René Gaston Baco de La Chapelle,1792,1793,Q3385239,Q3166951
91,Q3166951,Jean-Louis Renard,1793,1794,Q3426249,Q3385239
,Q3385239,Pierre Giraud du Plessis,1795,1795,Q3166951,Q3105595
92,Q3105595,Gilbert Beaufranchet,1795,1797,Q3385239,Q2966060
,Q2966060,Christophe-Clair Danyel de Kervégan,1797,1797,Q3105595,Q3189312
93,Q3189312,Julien-François Douillard,1797,1798,Q2966060,Q3260731
94,Q3260731,Louis-Marie Saget,1798,1798,Q3189312,Q3084604
95,Q3084604,François Fellonneau,1800,1801,Q3260731,Q2976836
96,Q2976836,Claude-Sylvain Pâris,1801,1803,Q3084604,Q2871666
97,Q2871666,Augustin de Loynes,1803,1804,Q2976836,Q3163878
98,Q3163878,Jean-Baptiste Bertrand-Geslin,1805,1813,Q2871666,Q3083526
99,Q3083526,François-Marie-Bonaventure du Fou,1813,1815,Q3163878,Q3163878
,Q3163878,Jean-Baptiste Bertrand-Geslin,1815,1815,Q3083526,Q3301588
100,Q3301588,Maurice Étiennez,1815,1815,Q3163878,Q3083526
,Q3083526,François-Marie-Bonaventure du Fou,1815,1816,Q3301588,Q3263053
101,Q3263053,Louis Rousseau de Saint-Aignan,1816,1819,Q3083526,Q3260597
102,Q3260597,Louis-Hyacinthe Levesque,1819,1830,Q3263053,Q3301588
,Q3301588,Maurice Étiennez,1830,1830,Q3260597,Q3379187
103,Q3379187,Philippe-René Soubzmain,1830,1831,Q3301588,Q3068557
104,Q3068557,Ferdinand Favre,1832,1848,Q3379187,Q3592731
105,Q3592731,Évariste Colombel,1848,1852,Q3068557,Q3068557
,Q3068557,Ferdinand Favre,1852,1866,Q3592731,Q2853895
106,Q2853895,Antoine Dufour,1866,1870,Q3068557,Q434725
107,Q434725,René Waldeck-Rousseau,1870,1871,Q2853895,Q2864458
108,Q2864458,Arsène Leloup,1871,1872,Q434725,Q434725
,Q434725,René Waldeck-Rousseau,1872,1873,Q2864458,Q3427041
109,Q3427041,René de Cornulier-Lucinière,1874,1874,Q434725,Q3189309
110,Q3189309,Julien-Charles Lechat,1874,1881,Q3427041,Q3299005
111,Q3299005,Mathurin Brissonneau,1881,1881,Q3189309,Q3102146
112,Q3102146,Georges-Évariste Colombel,1881,1885,Q3299005,Q3579975
113,Q3579975,Édouard Normand,1885,1888,Q3102146,Q3056991
114,Q3056991,Ernest Guibourd de Luzinais,1888,1892,Q3579975,Q2835424
115,Q2835424,Alfred Riom,1892,1896,Q3056991,Q3136009
116,Q3136009,Hippolyte-Étienne Étiennez,1896,1899,Q2835424,Q3370401
117,Q3370401,Paul-Émile Sarradin,1899,1908,Q3136009,Q3184699
118,Q3184699,Joseph Canal,1908,1908,Q3370401,Q2404053
119,Q2404053,Gabriel Guist'hau,1908,1910,Q3184699,Q3370603
120,Q3370603,Paul Bellamy,1910,1928,Q2404053,Q3099171
121,Q3099171,Gaston Veil,1928,1928,Q3370603,Q2824877
122,Q2824877,Adolphe Moitié,1928,1929,Q3099171,Q3271778
123,Q3271778,Léopold Cassegrain,1929,1935,Q2824877,Q2871346
124,Q2871346,Auguste Pageot,1935,1940,Q3271778,Q3047960
125,Q3047960,Edmond Prieur,1940,1941,Q2871346,Q3099930
126,Q3099930,Gaëtan Rondeau,1941,1942,Q3047960,Q3132985
127,Q3132985,Henry Orrion,1942,1944,Q3099930,Q2979743
128,Q2979743,Clovis Constant,1944,1945,Q3132985,Q3173967
129,Q3173967,Jean Philippot,1945,1947,Q2979743,Q3132985
,Q3132985,Henry Orrion,1947,1965,Q3173967,Q2848330
130,Q2848330,André Morice,1965,1977,Q3132985,Q2829669
131,Q2829669,Alain Chénard,1977,1983,Q2848330,Q3309257
132,Q3309257,Michel Chauty,1983,1989,Q2829669,Q7711
133,Q7711,Jean-Marc Ayrault,1989,2012,Q3309257,Q3369813
134,Q3369813,Patrick Rimbert,2012,2014,Q7711,Q16037012
135,Q16037012,Johanna Rolland,2014,,Q3369813,
